Trade #,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
144,Entry long,2026-02-11 10:00,Long,5053.037,37.16,187770.8549,-200.03,-0.11,142.99,0.08,-200.03,-0.11,983.6,9.84
145,Exit long,2026-02-11 10:40,Long Exit,5052.787,34.65,174879.139,199.93,0.11,199.93,0.11,0,0.00,1183.53,11.84
145,Entry long,2026-02-11 10:35,Long,5047.017,34.65,174879.139,199.93,0.11,199.93,0.11,0,0.00,1183.53,11.84
146,Exit long,2026-02-11 11:15,Long Exit,5048.194,32.59,164720.6799,-200.04,-0.12,112.21,0.07,-200.04,-0.12,983.49,9.83
146,Entry long,2026-02-11 10:45,Long,5054.332,32.59,164720.6799,-200.04,-0.12,112.21,0.07,-200.04,-0.12,983.49,9.83
147,Exit long,2026-02-11 12:50,Long Exit,5049.774,22.81,115385.343,-200,-0.17,56.52,0.05,-200,-0.17,783.5,7.83
147,Entry long,2026-02-11 11:25,Long,5058.542,22.81,115385.343,-200,-0.17,56.52,0.05,-200,-0.17,783.5,7.83
148,Exit long,2026-02-11 13:30,Long Exit,5058.037,46.44,234695.3141,199.92,0.09,199.92,0.09,0,0.00,983.42,9.83
148,Entry long,2026-02-11 13:30,Long,5053.732,46.44,234695.3141,199.92,0.09,199.92,0.09,0,0.00,983.42,9.83
149,Exit long,2026-02-11 13:40,Long Exit,5063.502,37.37,189023.1402,199.93,0.11,199.93,0.11,0,0.00,1183.35,11.83
149,Entry long,2026-02-11 13:35,Long,5058.152,37.37,189023.1402,199.93,0.11,199.93,0.11,0,0.00,1183.35,11.83
150,Exit long,2026-02-11 14:40,Long Exit,5053.669,24.87,125884.7774,-200.03,-0.16,1.69,0.00,-200.03,-0.16,983.32,9.83
150,Entry long,2026-02-11 14:20,Long,5061.712,24.87,125884.7774,-200.03,-0.16,1.69,0.00,-200.03,-0.16,983.32,9.83
151,Exit long,2026-02-11 15:45,Long Exit,5051.859,22.31,112906.9388,-199.96,-0.18,187.69,0.17,-199.96,-0.18,783.36,7.83
151,Entry long,2026-02-11 14:50,Long,5060.822,22.31,112906.9388,-199.96,-0.18,187.69,0.17,-199.96,-0.18,783.36,7.83
152,Exit long,2026-02-11 18:15,Long Exit,5070.142,52.96,268314.7963,199.92,0.07,199.92,0.07,-61.54,-0.02,983.28,9.83
152,Entry long,2026-02-11 18:05,Long,5066.367,52.96,268314.7963,199.92,0.07,199.92,0.07,-61.54,-0.02,983.28,9.83
153,Exit long,2026-02-11 18:25,Long Exit,5068.704,38.05,193064.2541,-200.07,-0.10,103.61,0.05,-200.07,-0.10,783.21,7.83
153,Entry long,2026-02-11 18:20,Long,5073.962,38.05,193064.2541,-200.07,-0.10,103.61,0.05,-200.07,-0.10,783.21,7.83
154,Exit short,2026-02-11 23:05,Short Exit,5070.866,7.36,37121.58048,-199.99,-0.54,58.24,0.16,-199.99,-0.54,583.22,5.83
154,Entry short,2026-02-11 22:40,Short,5043.693,7.36,37121.58048,-199.99,-0.54,58.24,0.16,-199.99,-0.54,583.22,5.83
155,Exit short,2026-02-11 23:20,Short Exit,5049.468,12.33,62459.87139,199.93,0.32,199.93,0.32,-110.01,-0.18,783.15,7.83
155,Entry short,2026-02-11 23:15,Short,5065.683,12.33,62459.87139,199.93,0.32,199.93,0.32,-110.01,-0.18,783.15,7.83
156,Exit short,2026-02-12 00:30,Short Exit,5070.891,8.35,42142.05755,-199.88,-0.47,63.86,0.15,-199.88,-0.47,583.27,5.83
156,Entry short,2026-02-11 23:25,Short,5046.953,8.35,42142.05755,-199.88,-0.47,63.86,0.15,-199.88,-0.47,583.27,5.83
157,Exit long,2026-02-12 01:40,Long Exit,5097.337,23.6,120097.2612,199.89,0.17,199.89,0.17,-175.04,-0.15,783.16,7.83
157,Entry long,2026-02-12 01:25,Long,5088.867,23.6,120097.2612,199.89,0.17,199.89,0.17,-175.04,-0.15,783.16,7.83
158,Exit long,2026-02-12 05:30,Long Exit,5074.444,19.35,98390.43495,-199.94,-0.20,184.08,0.19,-199.94,-0.20,583.22,5.83
158,Entry long,2026-02-12 02:40,Long,5084.777,19.35,98390.43495,-199.94,-0.20,184.08,0.19,-199.94,-0.20,583.22,5.83
159,Exit short,2026-02-12 08:00,Short Exit,5067.941,24.79,125434.2517,-200.01,-0.16,97.25,0.08,-200.01,-0.16,383.21,3.83
159,Entry short,2026-02-12 08:00,Short,5059.873,24.79,125434.2517,-200.01,-0.16,97.25,0.08,-200.01,-0.16,383.21,3.83
160,Exit short,2026-02-12 10:50,Short Exit,5065.031,27.2,137568.8416,-200,-0.15,71.35,0.05,-200,-0.15,183.21,1.83
160,Entry short,2026-02-12 10:40,Short,5057.678,27.2,137568.8416,-200,-0.15,71.35,0.05,-200,-0.15,183.21,1.83
161,Exit short,2026-02-12 12:15,Short Exit,5051.963,29.47,149081.3036,199.95,0.13,199.95,0.13,-9.34,-0.01,383.16,3.83
161,Entry short,2026-02-12 11:50,Short,5058.748,29.47,149081.3036,199.95,0.13,199.95,0.13,-9.34,-0.01,383.16,3.83
